#,Sample ID,User Name,Date and Time,880nm (Abs)
2,std1,Jaedon Swanson,6/18/2026 13:24,0.091
3,std1,Jaedon Swanson,6/18/2026 13:24,0.092
4,std1,Jaedon Swanson,6/18/2026 13:24,0.091
5,std2,Jaedon Swanson,6/18/2026 13:25,0.033
6,std2,Jaedon Swanson,6/18/2026 13:25,0.034
7,std2,Jaedon Swanson,6/18/2026 13:25,0.035
8,std3,Jaedon Swanson,6/18/2026 13:26,0.025
9,std3,Jaedon Swanson,6/18/2026 13:27,0.023
10,std3,Jaedon Swanson,6/18/2026 13:27,0.024
11,std4,Jaedon Swanson,6/18/2026 13:27,0.128
12,std4,Jaedon Swanson,6/18/2026 13:28,0.13
13,std4,Jaedon Swanson,6/18/2026 13:28,0.131
14,std5,Jaedon Swanson,6/18/2026 13:28,0.118
15,std5,Jaedon Swanson,6/18/2026 13:28,0.119
16,std5,Jaedon Swanson,6/18/2026 13:29,0.118
17,std6,Jaedon Swanson,6/18/2026 13:29,0.189
18,std6,Jaedon Swanson,6/18/2026 13:29,0.19
19,std6,Jaedon Swanson,6/18/2026 13:29,0.189
20,std7,Jaedon Swanson,6/18/2026 13:31,0.466
21,std7,Jaedon Swanson,6/18/2026 13:31,0.469
22,std7,Jaedon Swanson,6/18/2026 13:31,0.467
