#,Sample ID,User Name,Date and Time,880nm (Abs)
2,std1_1,Jaedon Swanson,6/26/2026 10:44,0.024
3,std1_2,Jaedon Swanson,6/26/2026 10:44,0.024
4,std1_3,Jaedon Swanson,6/26/2026 10:44,0.025
5,std2_1,Jaedon Swanson,6/26/2026 10:47,0.063
6,std2_2,Jaedon Swanson,6/26/2026 10:47,0.063
7,std2_3,Jaedon Swanson,6/26/2026 10:47,0.064
8,std3_1,Jaedon Swanson,6/26/2026 10:49,0.093
9,std3_2,Jaedon Swanson,6/26/2026 10:49,0.092
10,std3_3,Jaedon Swanson,6/26/2026 10:49,0.093
11,std4_1,Jaedon Swanson,6/26/2026 10:50,0.114
12,std4_2,Jaedon Swanson,6/26/2026 10:50,0.113
13,std4_3,Jaedon Swanson,6/26/2026 10:50,0.114
14,std5_1,Jaedon Swanson,6/26/2026 10:51,0.217
15,std5_2,Jaedon Swanson,6/26/2026 10:51,0.217
16,std5_3,Jaedon Swanson,6/26/2026 10:51,0.216
17,std6_1,Jaedon Swanson,6/26/2026 10:53,0.309
18,std6_2,Jaedon Swanson,6/26/2026 10:53,0.308
19,std6_3,Jaedon Swanson,6/26/2026 10:53,0.309
20,std7_1,Jaedon Swanson,6/26/2026 10:54,0.472
21,std7_2,Jaedon Swanson,6/26/2026 10:54,0.473
22,std7_3,Jaedon Swanson,6/26/2026 10:54,0.473
23,9,Jaedon Swanson,6/26/2026 12:46,0.184
24,10,Jaedon Swanson,6/26/2026 12:47,0.333
25,11,Jaedon Swanson,6/26/2026 12:48,0.267
26,12,Jaedon Swanson,6/26/2026 12:49,0.275
27,13,Jaedon Swanson,6/26/2026 12:50,0.42
28,14,Jaedon Swanson,6/26/2026 12:51,0.297
29,15,Jaedon Swanson,6/26/2026 12:52,0.154
30,16,Jaedon Swanson,6/26/2026 12:53,0.149
31,17,Jaedon Swanson,6/26/2026 12:53,0.108
32,18,Jaedon Swanson,6/26/2026 12:54,0.445
33,19,Jaedon Swanson,6/26/2026 12:55,0.407
34,20,Jaedon Swanson,6/26/2026 12:56,0.395
35,21,Jaedon Swanson,6/26/2026 12:56,0.48
36,22,Jaedon Swanson,6/26/2026 12:57,0.489
37,23,Jaedon Swanson,6/26/2026 12:58,0.484
38,24,Jaedon Swanson,6/26/2026 12:58,0.276
39,25,Jaedon Swanson,6/26/2026 12:59,0.307
40,26,Jaedon Swanson,6/26/2026 12:59,0.229
41,27,Jaedon Swanson,6/26/2026 13:00,0.588
42,28,Jaedon Swanson,6/26/2026 13:01,0.593
43,29,Jaedon Swanson,6/26/2026 13:02,0.618
44,30,Jaedon Swanson,6/26/2026 13:02,0.531
45,31,Jaedon Swanson,6/26/2026 13:03,0.488
46,32,Jaedon Swanson,6/26/2026 13:03,0.54
47,33,Jaedon Swanson,6/26/2026 13:04,0.289
48,34,Jaedon Swanson,6/26/2026 13:04,0.327
49,35,Jaedon Swanson,6/26/2026 13:05,0.357
50,36,Jaedon Swanson,6/26/2026 13:06,0.49
51,37,Jaedon Swanson,6/26/2026 13:06,0.369
52,38,Jaedon Swanson,6/26/2026 13:07,0.58
53,39,Jaedon Swanson,6/26/2026 13:08,0.274
54,40,Jaedon Swanson,6/26/2026 13:08,0.289
55,41,Jaedon Swanson,6/26/2026 13:09,0.272
56,42,Jaedon Swanson,6/26/2026 13:10,0.421
57,43,Jaedon Swanson,6/26/2026 13:11,0.568
58,44,Jaedon Swanson,6/26/2026 13:11,0.376
59,45,Jaedon Swanson,6/26/2026 13:12,0.321
60,46,Jaedon Swanson,6/26/2026 13:12,0.366
61,47,Jaedon Swanson,6/26/2026 13:14,0.336
62,48,Jaedon Swanson,6/26/2026 13:14,0.618
63,49,Jaedon Swanson,6/26/2026 13:15,0.637
64,50,Jaedon Swanson,6/26/2026 13:15,0.612
65,51,Jaedon Swanson,6/26/2026 13:16,0.729
66,52,Jaedon Swanson,6/26/2026 13:17,0.895
67,53,Jaedon Swanson,6/26/2026 13:17,0.81
68,54,Jaedon Swanson,6/26/2026 13:18,0.754
69,55,Jaedon Swanson,6/26/2026 13:18,0.744
70,56,Jaedon Swanson,6/26/2026 13:19,0.766
71,57,Jaedon Swanson,6/26/2026 13:19,0.535
72,58,Jaedon Swanson,6/26/2026 13:20,0.904
73,59,Jaedon Swanson,6/26/2026 13:21,0.899
74,60,Jaedon Swanson,6/26/2026 13:21,0.306
75,61,Jaedon Swanson,6/26/2026 13:22,0.346
76,62,Jaedon Swanson,6/26/2026 13:23,0.365
77,63,Jaedon Swanson,6/26/2026 13:23,0.432
78,64,Jaedon Swanson,6/26/2026 13:24,0.487
79,65,Jaedon Swanson,6/26/2026 13:25,0.313
80,66,Jaedon Swanson,6/26/2026 13:25,0.07
81,67,Jaedon Swanson,6/26/2026 13:26,0.034
82,68,Jaedon Swanson,6/26/2026 13:26,0.059
83,69,Jaedon Swanson,6/26/2026 13:27,0.209
84,70,Jaedon Swanson,6/26/2026 13:27,0.331
85,71,Jaedon Swanson,6/26/2026 13:28,0.354
86,72,Jaedon Swanson,6/26/2026 13:29,0.454
87,73,Jaedon Swanson,6/26/2026 13:29,0.482
88,74,Jaedon Swanson,6/26/2026 13:30,0.475
89,75,Jaedon Swanson,6/26/2026 13:31,0.171
90,76,Jaedon Swanson,6/26/2026 13:31,0.177
91,77,Jaedon Swanson,6/26/2026 13:32,0.13
