#,Sample ID,User Name,Date and Time,880nm (Abs)
2,std1_1,Jaedon Swanson,6/26/2026 10:44,0.024
3,std1_2,Jaedon Swanson,6/26/2026 10:44,0.024
4,std1_3,Jaedon Swanson,6/26/2026 10:44,0.025
5,std2_1,Jaedon Swanson,6/26/2026 10:47,0.063
6,std2_2,Jaedon Swanson,6/26/2026 10:47,0.063
7,std2_3,Jaedon Swanson,6/26/2026 10:47,0.064
8,std3_1,Jaedon Swanson,6/26/2026 10:49,0.093
9,std3_2,Jaedon Swanson,6/26/2026 10:49,0.092
10,std3_3,Jaedon Swanson,6/26/2026 10:49,0.093
11,std4_1,Jaedon Swanson,6/26/2026 10:50,0.114
12,std4_2,Jaedon Swanson,6/26/2026 10:50,0.113
13,std4_3,Jaedon Swanson,6/26/2026 10:50,0.114
14,std5_1,Jaedon Swanson,6/26/2026 10:51,0.217
15,std5_2,Jaedon Swanson,6/26/2026 10:51,0.217
16,std5_3,Jaedon Swanson,6/26/2026 10:51,0.216
17,std6_1,Jaedon Swanson,6/26/2026 10:53,0.309
18,std6_2,Jaedon Swanson,6/26/2026 10:53,0.308
19,std6_3,Jaedon Swanson,6/26/2026 10:53,0.309
20,std7_1,Jaedon Swanson,6/26/2026 10:54,0.472
21,std7_2,Jaedon Swanson,6/26/2026 10:54,0.473
22,std7_3,Jaedon Swanson,6/26/2026 10:54,0.473
