"Sample","Replication","Vial","Absorbance","Concentration"
"heron-map_06212026",1,9,0.184,26.9685240693992
"heron-map_06212026",2,10,0.333,57.5258729735617
"heron-map_06212026",3,11,0.267,43.9904029891675
"heron-resi_06212026",1,12,0.275,45.631066017579
"heron-resi_06212026",2,13,0.42,75.3680834075357
"heron-resi_06212026",3,14,0.297,50.1428893457103
"heron-out_06212026",1,15,0.154,20.8160377128564
"heron-out_06212026",2,16,0.149,19.7906233200993
"heron-out_06212026",3,17,0.108,11.3822252994908
"elm-school_06212026",1,18,0.445,80.4951553713214
"elm-school_06212026",2,19,0.407,72.7020059863672
"elm-school_06212026",3,20,0.395,70.2410114437501
"elm-bridge_06212026",1,21,0.48,87.6730561206213
"elm-bridge_06212026",2,22,0.489,89.5188020275841
"elm-bridge_06212026",3,23,0.484,88.493387634827
"gcp_06212026",1,24,0.276,45.8361488961304
"gcp_06212026",2,25,0.307,52.1937181312246
"gcp_06212026",3,26,0.229,36.1972536042134
"adams-mid-down_06212026",1,27,0.588,109.822007004175
"adams-mid-down_06212026",2,28,0.593,110.847421396932
"adams-mid-down_06212026",3,29,0.618,115.974493360718
"adams-in_06212026",1,30,0.531,98.132282926744
"adams-in_06212026",2,31,0.488,89.3137191490327
"adams-in_06212026",3,32,0.54,99.9780288337069
"adams-out_06212026",1,33,0.289,48.5022263172989
"adams-out_06212026",2,34,0.327,56.2953757022531
"adams-out_06212026",3,35,0.357,62.4478620587959
"adams-mid-up_06212026",1,36,0.49,89.7238849061356
"adams-mid-up_06212026",2,37,0.369,64.908856601413
"adams-mid-up_06212026",3,38,0.58,108.181343975764
"gcp_06192026",1,39,0.274,45.4259831390275
"gcp_06192026",2,40,0.289,48.5022263172989
"gcp_06192026",3,41,0.272,45.0158173819247
"elm-bridge_06192026",1,42,0.421,75.5731662860872
"elm-bridge_06192026",2,43,0.568,105.720349433147
"elm-bridge_06192026",3,44,0.376,66.344436751273
"elm-school_06192026",1,45,0.321,55.0648784309446
"elm-school_06192026",2,46,0.366,64.2936079657587
"elm-school_06192026",3,47,0.336,58.141121609216
"adams-in_06192026",1,48,0.618,115.974493360718
"adams-in_06192026",2,49,0.637,119.871068053195
"adams-in_06192026",3,50,0.612,114.74399608941
"adams-mid-up_06192026",1,51,0.729,138.738692879926
"adams-mid-up_06192026",2,52,0.895,172.782450719463
"adams-mid-up_06192026",3,53,0.81,155.350406042592
"adams-mid-down_06192026",1,54,0.754,143.865764843712
"adams-mid-down_06192026",2,55,0.744,141.814936058198
"adams-mid-down_06192026",3,56,0.766,146.326759386329
"adams-out_06192026",1,57,0.535,98.9526144409497
"adams-out_06192026",2,58,0.904,174.628196626426
"adams-out_06192026",3,59,0.899,173.602782233669
"heron-resi_06192026",1,60,0.306,51.9886352526732
"heron-resi_06192026",2,61,0.346,60.1919503947302
"heron-resi_06192026",3,62,0.365,64.0885250872073
"heron-map_06192026",1,63,0.432,77.8290779501528
"heron-map_06192026",2,64,0.487,89.1086362704813
"heron-map_06192026",3,65,0.313,53.4242154025331
"heron-out_06192026",1,66,0.07,3.58907591453662
"heron-out_06192026",2,67,0.034,-3.79390771331472
"heron-out_06192026",3,68,0.059,1.33316425047093
"heron-resi_06122026",1,69,0.209,32.0955960331848
"heron-resi_06122026",2,70,0.331,57.1157072164588
"heron-resi_06122026",3,71,0.354,61.8326134231416
"heron-map_06122026",1,72,0.454,82.3409012782842
"heron-map_06122026",2,73,0.482,88.0832218777241
"heron-map_06122026",3,74,0.475,86.6476417278642
"heron-out_06122026",1,75,0.171,24.3024466482306
"heron-out_06122026",2,76,0.177,25.5329439195392
"heron-out_06122026",3,77,0.13,15.8940486276222
