Sample,Replication,Vial,Absorbance,Concentration
gcp_05222026,1,8,0.088,28.62160575
gcp_05222026,2,9,0.115,37.10670934
gcp_05222026,3,10,0.083,27.05029027
gcp_06122026,1,11,0.091,29.56439504
gcp_06122026,2,12,0.081,26.42176408
gcp_06122026,3,13,0.02,7.251715239
elm-school_0522026,1,14,0.313,99.33080229
elm-school_0522026,2,15,0.372,117.8723249
elm-school_0522026,3,16,0.407,128.8715333
elm-bridge_0522026,1,17,0.412,130.4428488
elm-bridge_0522026,2,18,0.5,158.0980012
elm-bridge_0522026,3,19,0.335,106.2445904
elm-school_06122026,1,20,0.146,46.8488653
elm-school_06122026,2,21,0.164,52.50560103
elm-school_06122026,3,22,0.109,35.22113076
elm-bridge_06122026,1,23,0.143,45.90607602
elm-bridge_06122026,2,24,0.403,127.6144809
elm-bridge_06122026,3,25,0.148,47.47739149
elm-school_06012026,1,26,0.058,19.19371288
elm-school_06012026,2,27,0.091,29.56439504
elm-school_06012026,3,28,0.214,68.21875581
elm-bridge_06112026,1,29,0.362,114.729694
elm-bridge_06112026,2,30,0.362,114.729694
elm-bridge_06112026,3,31,0.326,103.4162225
adams-out_06012026,1,32,0.136,43.70623435
adams-out_06012026,2,33,0.18,57.53381056
adams-out_06012026,3,34,0.165,52.81986412
adams-in_06022026,1,35,0.299,94.93111895
adams-in_06022026,2,36,0.317,100.5878547
adams-in_06022026,3,37,0.295,93.67406657
adams-out_06122026,1,38,0.662,209.0086227
adams-out_06122026,2,39,0.69,217.8079894
adams-out_06122026,3,40,0.62,195.8095727
adams-mid-down_06122026,1,41,0.384,121.6434821
adams-mid-down_06122026,2,42,0.405,128.2430071
adams-mid-down_06122026,3,43,0.374,118.5008511
adams-in_06122026,1,44,0.366,115.9867464
adams-in_06122026,2,45,0.43,136.0995845
adams-in_06122026,3,46,0.516,163.1262107
gcp_06172026,1,47,-0.003,0.023664037
gcp_06172026,2,48,0.042,14.16550335
gcp_06172026,3,49,0.026,9.137293814
heron-resi_05282026,1,50,0.071,23.27913312
heron-resi_05282026,2,51,0.045,15.10829263
heron-resi_05282026,3,52,0.064,21.07929145
heron-out_05282026,1,53,0.029,10.0800831
heron-out_05282026,2,54,0.035,11.96566168
heron-out_05282026,3,55,0.015,5.68039976
adams-in_06172026,1,56,0.13,41.82065577
adams-in_06172026,2,57,0.021,7.565978335
adams-in_06172026,3,58,0.182,58.16233675
adams-mid-down_06172026,1,59,0.251,79.84649036
adams-mid-down_06172026,2,60,0.3,95.24538205
adams-mid-down_06172026,3,61,0.388,122.9005345
adams-out_06172026,1,62,0.334,105.9303273
adams-out_06172026,2,63,0.202,64.44759867
adams-out_06172026,3,64,0.222,70.73286058
elm-school_06172026,1,65,0.082,26.73602718
elm-school_06172026,2,66,0.136,43.70623435
elm-school_06172026,3,67,0.077,25.1647117
elm-bridge_06172026,1,68,0.075,24.53618551
elm-bridge_06172026,2,69,0.049,16.36534502
elm-bridge_06172026,3,70,0.028,9.765820005
heron-resi_06172026,1,71,0.154,49.36297007
heron-resi_06172026,2,72,0.021,7.565978335
heron-resi_06172026,3,73,0.01,4.109084282
heron-map_06172026,1,74,0.027,9.451556909
heron-map_06172026,2,75,0.017,6.308925952
heron-map_06172026,3,76,0.039,13.22271406
heron-out_06172026,1,77,-0.022,-5.947334782
heron-out_06172026,2,78,0.001,1.28071642
heron-out_06172026,3,79,-0.011,-2.490440729
b0,1,80,0.29,92.10275109
b1,1,81,0.272,86.44601537
b2,1,82,0.36,114.1011678
b3,1,83,0.369,116.9295357
p1,1,84,0.54,170.668525
p2,1,85,0.431,136.4138476
p3,1,86,0.457,144.5846881
p4,1,87,0.343,108.7586952
p5,1,88,0.348,110.3300106
p6,1,89,0.342,108.4444321
p7,1,90,0.427,135.1567952
